id,name,location_id
1125899907247362,Ankara,1
1125899907247363,Aksu,2
1125899907247364,Alanya,3
1125899907247365,Kemer,5
1125899907247366,Manavgat,6
1125899907247367,Antalya(Merkez),7
1125899907247368,Serik,8
1125899907247369,Didim,9
1125899907247370,Kuþadasý,10
1125899907247371,Ayvalýk,11
1125899907247372,Bartýn,12
1125899907247373,Bursa,13
1125899907247374,Eskiþehir,14
1125899907247375,Ýstanbul(Avrupa),16
1125899907247376,Ýstanbul(Anadolu),17
1125899907247377,Ýzmir,18
1125899907247378,Çeþme,19
1125899907247379,Bodrum,20
1125899907247380,Fethiye,21
1125899907247381,Marmaris,22
1125899907247382,Muðla,23
